KIperKP,KontrasP,Solidity_Inti,HomogenitasP,Circularity_Inti,Keliling_Inti,LIperLP ,KelilingP,EntropiP,LuasNormal_P,EnergiP,Homogenitas_Inti,KelilingNormal_I,Entropi_Inti,Granularity_Inti,RerataGP,SolidityP,Energi_Inti,RerataRP,RerataR_Inti,CircularityP,LuasP,GranularityP,RerataG_Inti,RerataBP,Eccentricity,RerataB_Inti,Kontras_Inti,Luas_Inti
1,1.52745,430.262573,0.265592,0.829226,0.010098,6594,0.679112,4317,0.968228,0.424221,0.61288,0.721607,5.743902,1.569887,63.807285,18.033606,0.293459,0.318913,33.319626,53.763103,0.034693,51451,67.198006,9.77624,27.01548,0.910415,28.153099,112.405159,34941
1,0.924298,486.48996,0.269519,0.842501,0.007916,6813,0.578543,7371,0.939914,0.272686,0.617041,0.822122,5.200763,1.041788,57.936794,20.321144,0.261796,0.517255,33.622459,35.289276,0.011689,50539,68.308342,7.857917,28.550669,0.325813,20.667152,74.533798,29239
1,2.097307,385.319977,0.262312,0.790565,0.007638,7242,0.625807,3453,1.182543,0.42787,0.527968,0.718708,6.631868,1.571759,64.379028,21.903347,0.314916,0.312806,40.994442,55.027718,0.053687,50939,70.972343,11.096008,32.057743,0.574257,29.552601,120.576416,31878
1,1.756039,290.921173,0.29011,0.85539,0.019216,4362,0.755544,2484,0.860586,0.545768,0.654455,0.651777,4.720779,1.851598,57.460918,13.608831,0.312929,0.196843,24.872036,61.701305,0.07843,38510,55.086273,9.412346,19.937069,0.68483,27.870367,79.851074,29096
1,1.303431,511.498016,0.252406,0.80969,0.004867,10941,0.635894,8394,1.099305,0.405821,0.560028,0.729631,8.068584,1.497099,65.951401,21.950966,0.273246,0.339341,38.115086,53.80022,0.013003,72910,70.023613,10.990617,30.090752,0.703403,26.756006,109.74424,46363
1,0.679677,489.694916,0.246656,0.826411,0.007864,7836,0.727925,11529,1.012069,0.411896,0.599376,0.725335,6.412438,1.567297,66.940697,23.520624,0.281441,0.333404,35.923504,55.393589,0.004991,52787,70.688354,13.650705,32.953842,0.457658,33.006355,145.667038,38425
2,1.135215,330.583557,0.282091,0.782818,0.023029,4584,0.572295,4038,1.274188,0.392099,0.484219,0.789315,3.655502,1.294388,86.519043,22.940983,0.327345,0.361509,57.455513,69.265465,0.051857,67287,89.591751,2.407056,42.857376,0.349206,36.146603,70.23159,38508
2,2.055172,375.799042,0.22169,0.730394,0.004562,8940,0.516797,4350,1.518158,0.363553,0.409616,0.79304,7.911504,1.217753,85.103142,21.13567,0.314056,0.387401,65.19133,64.045326,0.037282,56140,91.454796,1.680981,42.529499,0.367204,26.763433,83.940338,29013
2,0.70524,470.679718,0.305552,0.738174,0.067047,1938,0.497085,2748,1.534279,0.355276,0.396197,0.800002,2.04,1.219018,87.946037,36.105526,0.321506,0.409243,67.726204,65.14946,0.067084,40313,90.797142,3.112457,53.536701,0.342608,36.457237,50.381756,20039
2,0.956179,481.358154,0.287827,0.71775,0.011474,6546,0.452397,6846,1.644044,0.332636,0.341445,0.778239,4.771137,1.299293,66.800186,45.918255,0.306336,0.43646,68.05442,46.909763,0.023189,86486,83.390663,12.466963,56.392803,0.347903,27.182251,103.626511,39126
2,0.541314,498.152679,0.269606,0.673924,0.019905,4599,0.356746,8496,1.91034,0.26657,0.25952,0.822055,3.234177,1.06001,61.945225,60.982025,0.286563,0.530903,84.417953,37.198116,0.016349,93910,88.387001,8.737281,72.511932,0.135595,21.756313,69.991188,33502
2,0.828035,443.869598,0.258104,0.654107,0.014157,5157,0.359558,6228,2.006794,0.27776,0.243358,0.820031,3.924658,1.065522,57.993977,54.564632,0.318343,0.512654,81.920738,35.777,0.026997,83330,83.789459,6.533957,67.832291,0.34067,18.904015,54.972889,29962
2,1.071787,334.4729,0.255894,0.708232,0.019573,4479,0.430038,4179,1.725251,0.322034,0.317351,0.784792,3.594703,1.236571,62.351883,46.175358,0.321242,0.451091,69.880638,42.80368,0.052284,72661,81.707207,8.529084,57.433167,0.178253,22.414656,70.514519,31247
3,0.744318,270.726898,0.321244,0.900812,0.116319,1965,0.769319,2640,0.630257,0.451047,0.735512,0.694132,1.745115,1.659464,84.861626,18.222136,0.326695,0.296704,24.949659,76.718384,0.083765,46458,63.182503,9.965598,19.070709,0.697649,43.281803,61.238342,35741
3,0.492972,558.470642,0.313782,0.824798,0.075986,2841,0.68505,5763,1.097466,0.555423,0.539552,0.636032,2.395447,2.020801,96.225731,37.851028,0.309017,0.193067,51.515762,107.299431,0.026956,71243,88.674164,9.517924,43.858917,0.52849,65.515663,97.524025,48805
3,0.607306,459.905731,0.32355,0.854873,0.101592,2394,0.707908,3942,0.906225,0.5047,0.614556,0.666148,1.975248,1.850322,99.497475,31.915125,0.324368,0.240999,44.25832,100.251282,0.05293,65452,86.512703,11.05491,35.942574,0.621074,67.947693,95.603256,46334
