KIperKP,KontrasP,Solidity_Inti,HomogenitasP,Circularity_Inti,Keliling_Inti,LIperLP,KelilingP,EntropiP,LuasNormal_P,EnergiP,Homogenitas_Inti,KelilingNormal_I,Entropi_Inti,Granularity_Inti,RerataGP,SolidityP,Energi_Inti,RerataRP,RerataR_Inti,CircularityP,LuasP,GranularityP,RerataG_Inti,RerataBP,Eccentricity,RerataB_Inti,Kontras_Inti,Luas_Inti
2,20039,1938,0.305552,87.946037,0.067047,65.14946,3.112457,36.457237,1.219018,0.409243,50.381756,0.800002,40313,2748,0.321506,90.797142,0.067084,67.726204,36.105526,53.536701,1.534279,0.396197,470.679718,0.738174,0.355276,2.04,0.342608,0.497085.0.70524
2,39126,6546,0.287827,66.800186,0.011474,46.909763,12.466963,27.182251,1.299293,0.43646,103.626511,0.778239,86486,6846,0.306336,83.390663,0.023189,68.05442,45.918255,56.392803,1.644044,0.341445,481.358154,0.71775,0.332636,4.771137,0.347903,0.452397.0.956179
2,33502,4599,0.269606,61.945225,0.019905,37.198116,8.737281,21.756313,1.06001,0.530903,69.991188,0.822055,93910,8496,0.286563,88.387001,0.016349,84.417953,60.982025,72.511932,1.91034,0.25952,498.152679,0.673924,0.26657,3.234177,0.135595,0.356746.0.541314
2,29962,5157,0.258104,57.993977,0.014157,35.777,6.533957,18.904015,1.065522,0.512654,54.972889,0.820031,83330,6228,0.318343,83.789459,0.026997,81.920738,54.564632,67.832291,2.006794,0.243358,443.869598,0.654107,0.27776,3.924658,0.34067,0.359558.0.828035
2,31247,4479,0.255894,62.351883,0.019573,42.80368,8.529084,22.414656,1.236571,0.451091,70.514519,0.784792,72661,4179,0.321242,81.707207,0.052284,69.880638,46.175358,57.433167,1.725251,0.317351,334.4729,0.708232,0.322034,3.594703,0.178253,0.430038.1.071787
3,35741,1965,0.321244,84.861626,0.116319,76.718384,9.965598,43.281803,1.659464,0.296704,61.238342,0.694132,46458,2640,0.326695,63.182503,0.083765,24.949659,18.222136,19.070709,0.630257,0.735512,270.726898,0.900812,0.451047,1.745115,0.697649,0.769319.0.744318
3,48805,2841,0.313782,96.225731,0.075986,107.299431,9.517924,65.515663,2.020801,0.193067,97.524025,0.636032,71243,5763,0.309017,88.674164,0.026956,51.515762,37.851028,43.858917,1.097466,0.539552,558.470642,0.824798,0.555423,2.395447,0.52849,0.68505.0.492972
3,46334,2394,0.32355,99.497475,0.101592,100.251282,11.05491,67.947693,1.850322,0.240999,95.603256,0.666148,65452,3942,0.324368,86.512703,0.05293,44.25832,31.915125,35.942574,0.906225,0.614556,459.905731,0.854873,0.5047,1.975248,0.621074,0.707908.0.607306
3,44978,2727,0.316635,102.931335,0.076005,105.191238,13.114197,72.698692,1.894151,0.233562,119.727928,0.658664,55262,2820,0.327717,69.326256,0.087325,25.210011,17.522398,20.841053,0.570009,0.766525,400.137939,0.905363,0.511637,2.299325,0.680029,0.813905.0.967021
3,43862,2142,0.32219,96.716827,0.120132,111.346268,10.779142,67.797684,2.033218,0.179559,98.128052,0.617588,58821,3762,0.328888,81.946663,0.052228,40.15015,26.851919,32.184204,0.887646,0.635302,452.396698,0.855087,0.57115,1.92973,0.608521,0.745686.0.569378
